Date,Price,Open,High,Low,index,Change %
10/16/2012,1747.8,1736.3,1748.61,1734.9,2906,0.67%
10/17/2012,1750.3,1748.4,1753.81,1743.2,2905,0.14%
10/18/2012,1741.7,1749.91,1752.4,1738.41,2904,-0.49%
10/19/2012,1720.9,1740.59,1743.58,1716.29,2903,-1.19%
10/22/2012,1729.45,1721.8,1729.61,1714,2902,0.50%
10/23/2012,1708.7,1728.4,1730.6,1704.11,2901,-1.20%
10/24/2012,1702.43,1708.39,1714.56,1698.89,2900,-0.37%
10/25/2012,1711.8,1701.85,1718.21,1701.4,2899,0.55%
10/26/2012,1711.35,1712,1718.91,1700.95,2898,-0.03%
10/29/2012,1709.85,1711.5,1717.57,1706,2897,-0.09%
10/30/2012,1709.49,1710.06,1715.61,1705.2,2896,-0.02%
10/31/2012,1720.55,1709.96,1726.05,1709.54,2895,0.65%
11/1/2012,1714.7,1720.66,1727.11,1713.55,2894,-0.34%
11/2/2012,1677.85,1714.79,1717.06,1674.44,2893,-2.15%
11/5/2012,1684.6,1677.2,1686.57,1672.85,2892,0.40%
11/6/2012,1715.95,1684.93,1721.01,1683.8,2891,1.86%
11/7/2012,1716.69,1715.98,1731.79,1702.97,2890,0.04%
11/8/2012,1730.99,1717.32,1735.82,1713.61,2889,0.83%
11/9/2012,1731.24,1731.64,1739.05,1727.05,2888,0.01%
11/12/2012,1728.35,1732,1738.41,1725.9,2887,-0.17%
11/13/2012,1725.5,1728.51,1733.21,1718.3,2886,-0.16%
11/14/2012,1726.45,1725.5,1733.4,1720.81,2885,0.06%
11/15/2012,1715.8,1726.45,1727.96,1705.3,2884,-0.62%
11/16/2012,1713.7,1716.11,1717.51,1706.1,2883,-0.12%
11/19/2012,1731.94,1713.54,1735.34,1713.43,2882,1.06%
11/20/2012,1728.65,1732.11,1735.81,1722.4,2881,-0.19%
11/21/2012,1729.11,1728.57,1732.08,1720.91,2880,0.03%
11/22/2012,1729.55,1729.09,1732.75,1728.35,2879,0.03%
11/23/2012,1753,1729.55,1754.6,1728.39,2878,1.36%
11/26/2012,1749.1,1753.11,1753.11,1746.1,2877,-0.22%
11/27/2012,1742.05,1748.94,1751.8,1738.89,2876,-0.40%
11/28/2012,1719.69,1741.92,1743.23,1706.03,2875,-1.28%
11/29/2012,1725.4,1719.5,1728.71,1718.4,2874,0.33%
11/30/2012,1714.8,1725.71,1731.9,1709.09,2873,-0.61%
